resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,rank
1702,99,31,3,3,6,8,8,8,1,70,43.419,5461552,8
1703,99,17,19,14,12,9,9,9,0,70,52.394,5470527,4
1704,99,48,3,4,8,10,10,10,0,70,58.166,5476299,7
1705,99,32,19,15,13,11,11,11,0,69,0,0,13
1706,99,21,15,11,15,12,12,12,0,69,0,0,11
1707,99,13,15,12,16,13,13,13,0,69,0,0,16
1708,99,43,7,16,11,14,14,14,0,69,0,0,14
1709,99,44,7,17,14,15,15,15,0,68,0,0,15
1710,99,2,17,18,17,16,16,16,0,68,0,0,18
1711,99,45,17,19,18,17,17,17,0,67,0,0,17
1712,99,46,18,20,19,18,18,18,0,66,0,0,19
1713,99,47,18,21,20,0,0,19,0,31,0,0,20
1714,99,11,16,10,7,0,0,20,0,15,0,0,12
1715,100,30,6,1,4,1,1,1,10,60,24:42.7,5082700,1
1716,100,8,1,6,1,2,2,2,8,60,2.13,5084830,4
1717,100,22,6,2,2,3,3,3,6,60,3.114,5085814,2
1718,100,18,16,9,3,4,4,4,5,60,10.683,5093383,3
1719,100,31,3,3,7,5,5,5,4,60,12.173,5094873,6
1720,100,21,15,11,20,6,6,6,3,60,12.888,5095588,5
1721,100,14,1,5,6,7,7,7,2,60,19.668,5102368,10
1722,100,17,19,14,9,8,8,8,1,60,23.701,5106401,12
1723,100,13,15,12,10,9,9,9,0,60,24.023,5106723,9
1724,100,4,4,8,16,10,10,10,0,60,24.835,5107535,8
1725,100,11,16,10,8,11,11,11,0,60,33.736,5116436,14
1726,100,48,3,4,11,12,12,12,0,60,34.303,5117003,7
1727,100,43,7,16,12,13,13,13,0,59,0,0,13
1728,100,32,19,15,13,14,14,14,0,59,0,0,15
1729,100,2,17,18,15,15,15,15,0,59,0,0,16
1730,100,46,18,20,18,16,16,16,0,56,0,0,19
1731,100,45,17,19,14,0,0,17,0,47,0,0,17
1732,100,15,4,7,5,0,0,18,0,39,0,0,11
1733,100,47,18,21,19,0,0,19,0,29,0,0,20
1734,100,44,7,17,17,0,0,20,0,16,0,0,18
1735,101,30,6,1,1,1,1,1,10,66,23:54.8,5034848,2
1736,101,18,16,9,13,2,2,2,8,66,8.388,5043236,3
1737,101,4,4,8,5,3,3,3,6,66,16.351,5051199,5
1738,101,14,1,5,4,4,4,4,5,66,19.231,5054079,8
1739,101,31,3,3,2,5,5,5,4,66,23.055,5057903,7
1740,101,17,19,14,11,6,6,6,3,66,41.108,5075956,11
1741,101,42,3,4,10,7,7,7,2,66,41.956,5076804,10
1742,101,11,16,10,8,8,8,8,1,66,46.842,5081690,9
1743,101,21,15,11,14,9,9,9,0,66,+1:07.102,5101950,15
1744,101,32,19,15,12,10,10,10,0,66,+1:08.578,5103426,13
1745,101,15,4,7,6,11,11,11,0,66,+1:10.258,5105106,6
1746,101,22,6,2,7,12,12,12,0,66,+1:13.252,5108100,12
1747,101,13,15,12,16,13,13,13,0,65,0,0,17
1748,101,44,7,17,9,14,14,14,0,65,0,0,4
1749,101,45,17,19,17,15,15,15,0,63,0,0,16
1750,101,47,18,21,20,16,16,16,0,62,0,0,20
