resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,rank
1,18,1,1,22,1,1,1,1,10,58,34:50.6,5690616,2
2,18,2,2,3,5,2,2,2,8,58,5.478,5696094,3
3,18,3,3,7,7,3,3,3,6,58,8.163,5698779,5
4,18,4,4,5,11,4,4,4,5,58,17.181,5707797,7
5,18,5,1,23,3,5,5,5,4,58,18.014,5708630,1
6,18,6,3,8,13,6,6,6,3,57,0,0,14
7,18,7,5,14,17,7,7,7,2,55,0,0,12
8,18,8,6,1,15,8,8,8,1,53,0,0,4
9,18,9,2,4,2,0,0,9,0,47,0,0,9
10,18,10,7,12,18,0,0,10,0,43,0,0,13
11,18,11,8,18,19,0,0,11,0,32,0,0,15
12,18,12,4,6,20,0,0,12,0,30,0,0,16
13,18,13,6,2,4,0,0,13,0,29,0,0,6
14,18,14,9,9,8,0,0,14,0,25,0,0,11
15,18,15,7,11,6,0,0,15,0,19,0,0,10
16,18,16,10,20,22,0,0,16,0,8,0,0,17
17,18,17,9,10,14,0,0,17,0,0,0,0,0
18,18,18,11,16,12,0,0,18,0,0,0,0,0
19,18,19,8,19,21,0,0,19,0,0,0,0,0
20,18,20,5,15,9,0,0,20,0,0,0,0,0
21,18,21,10,21,16,0,0,21,0,0,0,0,0
22,18,22,11,17,10,0,0,22,0,58,0,0,8
23,19,8,6,1,2,1,1,1,10,56,31:18.6,5478555,2
24,19,9,2,4,4,2,2,2,8,56,19.57,5498125,6
25,19,5,1,23,8,3,3,3,6,56,38.45,5517005,7
26,19,15,7,11,3,4,4,4,5,56,45.832,5524387,8
27,19,1,1,22,9,5,5,5,4,56,46.548,5525103,3
28,19,2,2,3,5,6,6,6,3,56,49.833,5528388,1
29,19,17,9,10,6,7,7,7,2,56,+1:08.130,5546685,12
30,19,4,4,5,7,8,8,8,1,56,+1:10.041,5548596,10
31,19,14,9,9,12,9,9,9,0,56,+1:16.220,5554775,9
32,19,18,11,16,11,10,10,10,0,56,+1:26.214,5564769,4
33,19,12,4,6,13,11,11,11,0,56,+1:32.202,5570757,15
34,19,21,10,21,17,12,12,12,0,55,0,0,16
35,19,22,11,17,14,13,13,13,0,55,0,0,11
36,19,3,3,7,16,14,14,14,0,55,0,0,13
37,19,19,8,19,21,15,15,15,0,55,0,0,18
38,19,11,8,18,19,16,16,16,0,54,0,0,19
39,19,6,3,8,22,17,17,17,0,54,0,0,17
40,19,20,5,15,15,0,0,18,0,39,0,0,14
41,19,13,6,2,1,0,0,19,0,30,0,0,5
42,19,16,10,20,20,0,0,20,0,5,0,0,20
43,19,10,7,12,10,0,0,21,0,1,0,0,0
44,19,7,5,14,18,0,0,22,0,0,0,0,0
45,20,13,6,2,2,1,1,1,10,57,31:07.0,5466970,3
46,20,8,6,1,4,2,2,2,8,57,3.339,5470309,4
47,20,9,2,4,1,3,3,3,6,57,4.998,5471968,5
48,20,2,2,3,6,4,4,4,5,57,8.409,5475379,2
49,20,5,1,23,5,5,5,5,4,57,26.789,5493759,1
50,20,15,7,11,7,6,6,6,3,57,41.314,5508284,7
51,20,17,9,10,11,7,7,7,2,57,45.473,5512443,8
52,20,3,3,7,8,8,8,8,1,57,55.889,5522859,6
53,20,10,7,12,13,9,9,9,0,57,+1:09.500,5536470,9
54,20,4,4,5,10,10,10,10,0,57,+1:17.181,5544151,13
55,20,22,11,17,12,11,11,11,0,57,+1:17.862,5544832,10
56,20,21,10,21,18,12,12,12,0,56,0,0,11
57,20,1,1,22,3,13,13,13,0,56,0,0,19
58,20,6,3,8,16,14,14,14,0,56,0,0,17
59,20,7,5,14,15,15,15,15,0,56,0,0,15
60,20,19,8,19,21,16,16,16,0,56,0,0,14
61,20,11,8,18,22,17,17,17,0,56,0,0,20
62,20,14,9,9,17,18,18,18,0,56,0,0,16
63,20,16,10,20,20,19,19,19,0,56,0,0,18
64,20,12,4,6,14,0,0,20,0,40,0,0,12
65,20,18,11,16,9,0,0,21,0,19,0,0,21
66,20,20,5,15,19,0,0,22,0,0,0,0,0
67,21,8,6,1,1,1,1,1,10,66,38:19.1,5899051,1
68,21,13,6,2,3,2,2,2,8,66,3.228,5902279,2
69,21,1,1,22,5,3,3,3,6,66,4.187,5903238,3
70,21,9,2,4,4,4,4,4,5,66,5.694,5904745,4
71,21,17,9,10,7,5,5,5,4,66,35.938,5934989,8
72,21,18,11,16,13,6,6,6,3,66,53.01,5952061,5
73,21,6,3,8,12,7,7,7,2,66,58.244,5957295,15
74,21,15,7,11,8,8,8,8,1,66,59.435,5958486,10
75,21,2,2,3,9,9,9,9,0,66,+1:03.073,5962124,7
76,21,21,10,21,19,10,10,10,0,65,0,0,14
77,21,10,7,12,14,11,11,11,0,65,0,0,12
78,21,14,9,9,17,12,12,12,0,65,0,0,11
79,21,11,8,18,22,13,13,13,0,65,0,0,17
80,21,3,3,7,15,0,0,14,0,41,0,0,13
81,21,4,4,5,2,0,0,15,0,34,0,0,9
82,21,22,11,17,11,0,0,16,0,34,0,0,16
83,21,5,1,23,6,0,0,17,0,21,0,0,6
84,21,19,8,19,21,0,0,18,0,8,0,0,20
85,21,7,5,14,16,0,0,19,0,7,0,0,19
86,21,12,4,6,10,0,0,20,0,6,0,0,18
87,21,16,10,20,20,0,0,21,0,0,0,0,0
88,21,20,5,15,18,0,0,22,0,0,0,0,0
89,22,13,6,2,1,1,1,1,10,58,26:49.5,5209451,3
90,22,1,1,22,3,2,2,2,8,58,3.779,5213230,2
91,22,8,6,1,4,3,3,3,6,58,4.271,5213722,1
92,22,9,2,4,5,4,4,4,5,58,21.945,5231396,4
93,22,2,2,3,9,5,5,5,4,58,38.741,5248192,5
94,22,4,4,5,7,6,6,6,3,58,53.724,5263175,6
95,22,17,9,10,6,7,7,7,2,58,+1:04.229,5273680,7
96,22,3,3,7,11,8,8,8,1,58,+1:11.406,5280857,9
97,22,14,9,9,10,9,9,9,0,58,+1:15.270,5284721,12
98,22,15,7,11,8,10,10,10,0,58,+1:16.344,5285795,11
99,22,18,11,16,13,11,11,11,0,57,0,0,13
100,22,5,1,23,2,12,12,12,0,57,0,0,8
101,22,10,7,12,15,13,13,13,0,57,0,0,16
102,22,22,11,17,12,14,14,14,0,57,0,0,14
103,22,12,4,6,17,15,15,15,0,57,0,0,10
104,22,16,10,20,19,16,16,16,0,57,0,0,18
105,22,20,5,15,14,17,17,17,0,57,0,0,15
106,22,7,5,14,18,0,0,18,0,24,0,0,17
107,22,6,3,8,16,0,0,19,0,1,0,0,0
108,22,21,10,21,20,0,0,20,0,0,0,0,0
109,23,1,1,22,3,1,1,1,10,76,00:42.7,7242742,6
110,23,9,2,4,5,2,2,2,8,76,3.064,7245806,5
111,23,13,6,2,1,3,3,3,6,76,4.811,7247553,4
112,23,17,9,10,9,4,4,4,5,76,19.295,7262037,8
113,23,20,5,15,19,5,5,5,4,76,24.657,7267399,7
114,23,22,11,17,14,6,6,6,3,76,28.408,7271150,9
115,23,6,3,8,13,7,7,7,2,76,30.18,7272922,13
116,23,5,1,23,4,8,8,8,1,76,33.191,7275933,2
117,23,8,6,1,2,9,9,9,0,76,33.792,7276534,1
118,23,4,4,5,7,10,10,10,0,75,0,0,3
119,23,18,11,16,11,11,11,11,0,75,0,0,10
120,23,10,7,12,10,12,12,12,0,75,0,0,11
121,23,15,7,11,8,13,13,13,0,75,0,0,12
122,23,2,2,3,12,14,14,14,0,72,0,0,14
123,23,16,10,20,18,0,0,15,0,67,0,0,16
124,23,3,3,7,6,0,0,16,0,59,0,0,15
125,23,12,4,6,17,0,0,17,0,47,0,0,17
126,23,21,10,21,20,0,0,18,0,36,0,0,18
127,23,14,9,9,15,0,0,19,0,7,0,0,20
128,23,7,5,14,16,0,0,20,0,7,0,0,19
129,24,9,2,4,2,1,1,1,10,70,36:24.2,5784227,4
130,24,2,2,3,8,2,2,2,8,70,16.495,5800722,2
131,24,14,9,9,13,3,3,3,6,70,23.352,5807579,7
132,24,10,7,12,11,4,4,4,5,70,42.627,5826854,17
133,24,13,6,2,6,5,5,5,4,70,43.934,5828161,6
134,24,15,7,11,14,6,6,6,3,70,47.775,5832002,15
135,24,22,11,17,9,7,7,7,2,70,53.597,5837824,10
136,24,20,5,15,19,8,8,8,1,70,54.12,5838347,12
137,24,5,1,23,7,9,9,9,0,70,54.433,5838660,11
138,24,3,3,7,5,10,10,10,0,70,54.749,5838976,5
139,24,18,11,16,20,11,11,11,0,70,+1:07.540,5851767,19
140,24,17,9,10,10,12,12,12,0,70,+1:11.299,5855526,8
141,24,7,5,14,18,13,13,13,0,69,0,0,13
142,24,21,10,21,17,0,0,14,0,51,0,0,16
143,24,6,3,8,12,0,0,15,0,46,0,0,14
144,24,4,4,5,4,0,0,16,0,44,0,0,9
145,24,12,4,6,15,0,0,17,0,43,0,0,18
146,24,8,6,1,3,0,0,18,0,19,0,0,1
147,24,1,1,22,1,0,0,19,0,19,0,0,3
148,24,16,10,20,16,0,0,20,0,13,0,0,20
149,25,13,6,2,2,1,1,1,10,70,31:50.2,5510245,2
150,25,8,6,1,1,2,2,2,8,70,17.984,5528229,1
151,25,15,7,11,4,3,3,3,6,70,28.25,5538495,7
152,25,5,1,23,10,4,4,4,5,70,28.929,5539174,3
153,25,9,2,4,5,5,5,5,4,70,30.512,5540757,4
154,25,17,9,10,6,6,6,6,3,70,40.304,5550549,6
155,25,12,4,6,9,7,7,7,2,70,41.033,5551278,10
156,25,4,4,5,3,8,8,8,1,70,43.372,5553617,8
157,25,14,9,9,7,9,9,9,0,70,51.021,5561266,12
158,25,1,1,22,13,10,10,10,0,70,54.538,5564783,5
159,25,10,7,12,8,11,11,11,0,70,57.7,5567945,13
160,25,20,5,15,12,12,12,12,0,70,58.065,5568310,11
161,25,2,2,3,11,13,13,13,0,70,+1:02.079,5572324,9
162,25,22,11,17,20,14,14,14,0,69,0,0,14
163,25,6,3,8,15,15,15,15,0,69,0,0,15
164,25,3,3,7,19,16,16,16,0,69,0,0,17
165,25,7,5,14,14,17,17,17,0,69,0,0,16
166,25,21,10,21,17,18,18,18,0,69,0,0,19
167,25,16,10,20,18,19,19,19,0,69,0,0,18
168,25,18,11,16,16,0,0,20,0,16,0,0,20
169,26,1,1,22,4,1,1,1,10,60,39:09.4,5949440,3
170,26,2,2,3,5,2,2,2,8,60,+1:08.577,6018017,2
171,26,22,11,17,16,3,3,3,6,60,+1:22.273,6031713,11
172,26,8,6,1,3,4,4,4,5,59,0,0,1
173,26,5,1,23,1,5,5,5,4,59,0,0,5
174,26,4,4,5,6,6,6,6,3,59,0,0,6
175,26,15,7,11,14,7,7,7,2,59,0,0,13
176,26,6,3,8,15,8,8,8,1,59,0,0,14
177,26,3,3,7,20,9,9,9,0,59,0,0,16
178,26,17,9,10,2,10,10,10,0,59,0,0,4
179,26,7,5,14,13,11,11,11,0,59,0,0,9
180,26,10,7,12,12,12,12,12,0,59,0,0,15
181,26,13,6,2,9,13,13,13,0,58,0,0,8
182,26,9,2,4,10,0,0,14,0,39,0,0,12
183,26,18,11,16,17,0,0,15,0,38,0,0,10
184,26,12,4,6,7,0,0,16,0,35,0,0,7
185,26,21,10,21,19,0,0,17,0,16,0,0,17
186,26,16,10,20,18,0,0,18,0,10,0,0,18
187,26,20,5,15,8,0,0,19,0,0,0,0,0
188,26,14,9,9,11,0,0,20,0,0,0,0,0
189,27,1,1,22,1,1,1,1,10,67,31:20.9,5480874,2
190,27,12,4,6,17,2,2,2,8,67,5.586,5486460,9
191,27,13,6,2,2,3,3,3,6,67,9.339,5490213,5
192,27,2,2,3,12,4,4,4,5,67,9.825,5490699,1
193,27,5,1,23,3,5,5,5,4,67,12.411,5493285,4
194,27,8,6,1,6,6,6,6,3,67,14.403,5495277,3
195,27,9,2,4,7,7,7,7,2,67,22.682,5503556,6
196,27,20,5,15,9,8,8,8,1,67,33.299,5514173,8
197,27,15,7,11,4,9,9,9,0,67,37.158,5518032,12
198,27,3,3,7,13,10,10,10,0,67,37.625,5518499,15
199,27,4,4,5,5,11,11,11,0,67,38.6,5519474,13
200,27,7,5,14,15,12,12,12,0,67,39.111,5519985,10
201,27,14,9,9,10,13,13,13,0,67,54.971,5535845,11
202,27,6,3,8,16,14,14,14,0,67,+1:00.003,5540877,17
203,27,16,10,20,19,15,15,15,0,67,+1:09.488,5550362,18
204,27,21,10,21,20,16,16,16,0,67,+1:24.093,5564967,20
205,27,18,11,16,14,17,17,17,0,66,0,0,16
206,27,22,11,17,18,0,0,18,0,50,0,0,19
207,27,17,9,10,8,0,0,19,0,40,0,0,14
208,27,10,7,12,11,0,0,20,0,35,0,0,7
209,28,5,1,23,2,1,1,1,10,70,37:27.1,5847067,7
210,28,10,7,12,5,2,2,2,8,70,11.061,5858128,6
211,28,8,6,1,6,3,3,3,6,70,16.856,5863923,1
212,28,4,4,5,7,4,4,4,5,70,21.614,5868681,8
213,28,1,1,22,1,5,5,5,4,70,23.048,5870115,3
214,28,12,4,6,10,6,6,6,3,70,32.298,5879365,4
215,28,15,7,11,9,7,7,7,2,70,36.449,5883516,5
216,28,9,2,4,4,8,8,8,1,70,48.321,5895388,9
217,28,17,9,10,8,9,9,9,0,70,58.834,5905901,10
218,28,2,2,3,15,10,10,10,0,70,+1:07.709,5914776,11
219,28,14,9,9,13,11,11,11,0,70,+1:10.407,5917474,16
220,28,18,11,16,12,12,12,12,0,69,0,0,13
221,28,6,3,8,16,13,13,13,0,69,0,0,18
222,28,3,3,7,14,14,14,14,0,69,0,0,12
223,28,21,10,21,18,15,15,15,0,69,0,0,15
224,28,22,11,17,17,16,16,16,0,68,0,0,14
225,28,13,6,2,3,17,17,17,0,67,0,0,2
226,28,7,5,14,19,18,18,18,0,67,0,0,17
227,28,16,10,20,20,0,0,19,0,62,0,0,19
228,28,20,5,15,11,0,0,20,0,22,0,0,20
229,29,13,6,2,1,1,1,1,10,57,35:32.3,5732339,1
230,29,1,1,22,2,2,2,2,8,57,5.611,5737950,2
231,29,9,2,4,3,3,3,3,6,57,37.353,5769692,4
232,29,5,1,23,5,4,4,4,5,57,39.703,5772042,3
233,29,15,7,11,7,5,5,5,4,57,50.684,5783023,12
234,29,20,5,15,6,6,6,6,3,57,52.625,5784964,6
235,29,10,7,12,13,7,7,7,2,57,+1:07.990,5800329,8
236,29,3,3,7,9,8,8,8,1,57,+1:11.457,5803796,10
237,29,2,2,3,8,9,9,9,0,57,+1:22.177,5814516,7
238,29,7,5,14,10,10,10,10,0,57,+1:29.794,5822133,11
239,29,12,4,6,15,11,11,11,0,57,+1:32.717,5825056,9
240,29,17,9,10,14,12,12,12,0,56,0,0,14
241,29,18,11,16,16,13,13,13,0,56,0,0,18
242,29,21,10,21,18,14,14,14,0,56,0,0,15
243,29,6,3,8,11,15,15,15,0,56,0,0,13
244,29,22,11,17,19,16,16,16,0,56,0,0,16
245,29,14,9,9,17,17,17,17,0,56,0,0,19
246,29,8,6,1,4,0,0,18,0,45,0,0,5
247,29,16,10,20,20,0,0,19,0,41,0,0,17
248,29,4,4,5,12,0,0,20,0,0,0,0,0
249,30,13,6,2,2,1,1,1,10,44,22:59.4,4979394,3
250,30,2,2,3,5,2,2,2,8,44,9.383,4988777,7
251,30,1,1,22,1,3,3,3,6,44,10.539,4989933,2
252,30,4,4,5,6,4,4,4,5,44,14.478,4993872,9
253,30,20,5,15,10,5,5,5,4,44,14.576,4993970,8
254,30,9,2,4,8,6,6,6,3,44,15.037,4994431,5
255,30,7,5,14,9,7,7,7,2,44,16.735,4996129,6
256,30,17,9,10,7,8,8,8,1,44,42.776,5022170,10
257,30,10,7,12,13,9,9,9,0,44,+1:07.045,5046439,12
258,30,5,1,23,3,10,10,10,0,43,0,0,4
259,30,14,9,9,14,11,11,11,0,43,0,0,11
260,30,3,3,7,15,12,12,12,0,43,0,0,15
261,30,16,10,20,18,13,13,13,0,43,0,0,13
262,30,6,3,8,19,14,14,14,0,43,0,0,17
263,30,18,11,16,17,15,15,15,0,43,0,0,16
264,30,15,7,11,11,16,16,16,0,43,0,0,14
265,30,21,10,21,20,17,17,17,0,43,0,0,19
266,30,8,6,1,4,18,18,18,0,42,0,0,1
267,30,22,11,17,16,0,0,19,0,19,0,0,20
268,30,12,4,6,12,0,0,20,0,13,0,0,18
269,31,20,5,15,1,1,1,1,10,53,26:47.5,5207494,14
270,31,5,1,23,2,2,2,2,8,53,12.512,5220006,13
271,31,9,2,4,11,3,3,3,6,53,20.471,5227965,12
272,31,4,4,5,8,4,4,4,5,53,23.903,5231397,9
273,31,2,2,3,10,5,5,5,4,53,27.748,5235242,6
274,31,13,6,2,6,6,6,6,3,53,28.816,5236310,4
275,31,1,1,22,15,7,7,7,2,53,29.912,5237406,5
276,31,17,9,10,3,8,8,8,1,53,32.048,5239542,3
277,31,8,6,1,14,9,9,9,0,53,39.468,5246962,1
278,31,12,4,6,17,10,10,10,0,53,54.445,5261939,16
279,31,10,7,12,9,11,11,11,0,53,58.888,5266382,8
280,31,6,3,8,18,12,12,12,0,53,+1:02.015,5269509,11
281,31,15,7,11,7,13,13,13,0,53,+1:05.954,5273448,15
282,31,3,3,7,5,14,14,14,0,53,+1:08.635,5276129,10
283,31,18,11,16,19,15,15,15,0,53,+1:13.370,5280864,7
284,31,14,9,9,13,16,16,16,0,52,0,0,17
285,31,22,11,17,16,17,17,17,0,52,0,0,19
286,31,7,5,14,4,18,18,18,0,52,0,0,2
287,31,16,10,20,20,19,19,19,0,51,0,0,18
288,31,21,10,21,12,0,0,20,0,11,0,0,20
289,32,4,4,5,15,1,1,1,10,61,57:16.3,7036304,3
290,32,3,3,7,8,2,2,2,8,61,2.957,7039261,5
291,32,1,1,22,2,3,3,3,6,61,5.917,7042221,4
292,32,10,7,12,7,4,4,4,5,61,8.155,7044459,8
293,32,20,5,15,6,5,5,5,4,61,10.268,7046572,9
294,32,2,2,3,9,6,6,6,3,61,11.101,7047405,11
295,32,14,9,9,14,7,7,7,2,61,16.387,7052691,13
296,32,6,3,8,10,8,8,8,1,61,18.489,7054793,10
297,32,18,11,16,12,9,9,9,0,61,19.885,7056189,15
298,32,5,1,23,5,10,10,10,0,61,26.902,7063206,12
299,32,9,2,4,4,11,11,11,0,61,27.975,7064279,6
300,32,7,5,14,17,12,12,12,0,61,29.432,7065736,14
301,32,13,6,2,1,13,13,13,0,61,35.17,7071474,2
302,32,21,10,21,20,14,14,14,0,61,43.571,7079875,16
303,32,8,6,1,3,15,15,15,0,57,0,0,1
304,32,15,7,11,11,0,0,16,0,50,0,0,7
305,32,16,10,20,19,0,0,17,0,49,0,0,18
306,32,17,9,10,13,0,0,18,0,29,0,0,17
307,32,22,11,17,18,0,0,19,0,14,0,0,19
308,32,12,4,6,16,0,0,20,0,13,0,0,20
309,33,4,4,5,4,1,1,1,10,67,30:21.9,5421892,3
310,33,9,2,4,6,2,2,2,8,67,5.283,5427175,7
311,33,8,6,1,2,3,3,3,6,67,6.4,5428292,2
312,33,12,4,6,12,4,4,4,5,67,20.57,5442462,4
313,33,15,7,11,7,5,5,5,4,67,23.767,5445659,9
314,33,20,5,15,9,6,6,6,3,67,39.207,5461099,12
315,33,13,6,2,5,7,7,7,2,67,46.158,5468050,1
316,33,17,9,10,13,8,8,8,1,67,50.811,5472703,13
317,33,2,2,3,16,9,9,9,0,67,54.12,5476012,8
318,33,7,5,14,10,10,10,10,0,67,59.085,5480977,6
319,33,3,3,7,15,11,11,11,0,67,+1:02.096,5483988,10
320,33,1,1,22,1,12,12,12,0,67,+1:18.900,5500792,11
321,33,22,11,17,17,13,13,13,0,66,0,0,16
322,33,18,11,16,18,14,14,14,0,66,0,0,17
323,33,6,3,8,14,15,15,15,0,66,0,0,15
324,33,21,10,21,20,0,0,16,0,21,0,0,19
325,33,5,1,23,3,0,0,17,0,16,0,0,5
326,33,16,10,20,19,0,0,18,0,8,0,0,18
327,33,10,7,12,8,0,0,19,0,6,0,0,14
328,33,14,9,9,11,0,0,20,0,0,0,0,0
329,34,1,1,22,1,1,1,1,10,56,31:57.4,5517403,1
330,34,13,6,2,3,2,2,2,8,56,14.925,5532328,4
331,34,8,6,1,2,3,3,3,6,56,16.445,5533848,2
332,34,4,4,5,4,4,4,4,5,56,18.37,5535773,5
333,34,2,2,3,9,5,5,5,4,56,28.923,5546326,3
334,34,9,2,4,11,6,6,6,3,56,33.219,5550622,7
335,34,10,7,12,12,7,7,7,2,56,41.722,5559125,6
336,34,12,4,6,10,8,8,8,1,56,56.645,5574048,8
337,34,20,5,15,6,9,9,9,0,56,+1:04.339,5581742,9
338,34,14,9,9,15,10,10,10,0,56,+1:14.842,5592245,14
339,34,22,11,17,13,11,11,11,0,56,+1:25.061,5602464,16
340,34,6,3,8,17,12,12,12,0,56,+1:30.847,5608250,17
341,34,7,5,14,8,13,13,13,0,56,+1:31.457,5608860,12
342,34,17,9,10,16,14,14,14,0,56,+1:32.422,5609825,13
343,34,3,3,7,14,15,15,15,0,55,0,0,10
344,34,18,11,16,18,16,16,16,0,55,0,0,15
345,34,21,10,21,20,17,17,17,0,55,0,0,18
346,34,5,1,23,5,0,0,18,0,49,0,0,11
347,34,16,10,20,19,0,0,19,0,13,0,0,19
348,34,15,7,11,7,0,0,20,0,2,0,0,20
349,35,13,6,2,1,1,1,1,10,71,34:11.4,5651435,1
350,35,4,4,5,6,2,2,2,8,71,13.298,5664733,8
351,35,8,6,1,3,3,3,3,6,71,16.235,5667670,3
352,35,20,5,15,7,4,4,4,5,71,38.011,5689446,7
353,35,1,1,22,4,5,5,5,4,71,38.907,5690342,4
354,35,10,7,12,10,6,6,6,3,71,44.368,5695803,2
355,35,5,1,23,5,7,7,7,2,71,55.074,5706509,6
356,35,15,7,11,2,8,8,8,1,71,+1:08.433,5719868,5
357,35,17,9,10,12,9,9,9,0,71,+1:19.666,5731101,14
358,35,2,2,3,8,10,10,10,0,70,0,0,10
359,35,9,2,4,13,11,11,11,0,70,0,0,9
360,35,3,3,7,18,12,12,12,0,70,0,0,12
361,35,18,11,16,17,13,13,13,0,70,0,0,11
362,35,7,5,14,9,14,14,14,0,70,0,0,13
363,35,22,11,17,15,15,15,15,0,70,0,0,16
364,35,16,10,20,20,16,16,16,0,69,0,0,17
365,35,6,3,8,16,17,17,17,0,69,0,0,18
366,35,21,10,21,19,18,18,18,0,69,0,0,15
367,35,12,4,6,11,0,0,19,0,0,0,0,0
368,35,14,9,9,14,0,0,20,0,0,0,0,0
369,36,8,6,6,1,1,1,1,10,58,25:28.8,5128770,1
370,36,4,1,1,2,2,2,2,8,58,7.242,5136012,2
371,36,1,1,2,4,3,3,3,6,58,18.595,5147365,3
372,36,2,2,9,3,4,4,4,5,58,38.763,5167533,6
373,36,21,4,3,6,5,5,5,4,58,+1:06.469,5195239,7
374,36,13,6,5,22,6,6,6,3,58,+1:06.805,5195575,8
375,36,3,3,16,12,7,7,7,2,57,0,0,5
376,36,23,7,11,9,8,8,8,1,57,0,0,12
377,36,15,7,12,8,9,9,9,0,57,0,0,13
378,36,5,4,4,13,10,10,10,0,57,0,0,10
379,36,22,11,8,16,11,11,11,0,57,0,0,14
380,36,11,8,22,10,12,12,12,0,57,0,0,18
381,36,17,9,15,7,13,13,13,0,57,0,0,9
382,36,24,5,18,19,14,14,14,0,57,0,0,15
383,36,18,11,7,14,15,15,15,0,57,0,0,17
384,36,19,8,23,11,16,16,16,0,56,0,0,19
385,36,16,12,20,20,17,17,17,0,56,0,0,20
386,36,25,3,17,15,0,0,18,0,48,0,0,16
387,36,14,9,14,18,0,0,19,0,48,0,0,11
388,36,9,2,10,5,0,0,20,0,36,0,0,4
389,36,26,5,19,17,0,0,21,0,28,0,0,21
390,36,27,12,21,21,0,0,22,0,10,0,0,22
391,37,4,1,1,2,1,1,1,10,56,32:14.9,5534930,2
392,37,1,1,2,4,2,2,2,8,56,17.557,5552487,1
393,37,8,6,6,3,3,3,3,6,56,18.339,5553269,4
394,37,2,2,9,5,4,4,4,5,56,33.777,5568707,5
395,37,13,6,5,1,5,5,5,4,56,36.705,5571635,3
396,37,21,4,3,12,6,6,6,3,56,+1:05.638,5600568,9
397,37,15,7,12,8,7,7,7,2,56,+1:10.132,5605062,10
398,37,5,4,4,11,8,8,8,1,56,+1:12.015,5606945,7
399,37,25,3,17,19,9,9,9,0,56,+1:29.924,5624854,8
400,37,17,9,15,10,10,10,10,0,56,+1:33.556,5628486,14
401,37,22,11,8,22,11,11,11,0,55,0,0,15
402,37,18,11,7,15,12,12,12,0,55,0,0,16
403,37,11,8,22,14,13,13,13,0,55,0,0,13
404,37,26,5,19,17,14,14,14,0,55,0,0,18
405,37,23,7,11,9,15,15,15,0,55,0,0,19
406,37,19,8,23,18,16,16,16,0,55,0,0,20
407,37,24,5,18,16,17,17,17,0,55,0,0,12
408,37,9,2,10,7,18,18,18,0,55,0,0,17
409,37,3,3,16,6,0,0,19,0,42,0,0,6
410,37,14,9,14,13,0,0,20,0,36,0,0,11
411,37,27,12,21,20,0,0,21,0,7,0,0,21
412,37,16,12,20,21,0,0,22,0,0,0,0,0
413,38,13,6,5,1,1,1,1,10,57,33:27.5,5607515,1
414,38,1,1,2,2,2,2,2,8,57,2.36,5609875,2
415,38,8,6,6,3,3,3,3,6,57,10.839,5618354,3
416,38,2,2,9,5,4,4,4,5,57,13.831,5621346,5
417,38,4,1,1,4,5,5,5,4,57,14.426,5621941,4
418,38,9,2,10,6,6,6,6,3,57,45.529,5653044,6
419,38,15,7,12,9,7,7,7,2,57,+1:21.371,5688886,7
420,38,21,4,3,7,8,8,8,1,57,+1:21.701,5689216,8
421,38,5,4,4,12,9,9,9,0,57,+1:29.411,5696926,10
422,38,3,3,16,10,10,10,10,0,57,+1:29.916,5697431,11
423,38,25,3,17,11,11,11,11,0,56,0,0,16
424,38,23,7,11,14,12,12,12,0,56,0,0,15
425,38,22,11,8,15,13,13,13,0,56,0,0,14
426,38,27,12,21,22,14,14,14,0,55,0,0,20
427,38,16,12,20,20,15,15,15,0,53,0,0,19
428,38,19,8,23,13,16,16,16,0,51,0,0,17
429,38,17,9,15,8,0,0,17,0,41,0,0,12
430,38,14,9,14,21,0,0,18,0,36,0,0,9
431,38,11,8,22,17,0,0,19,0,34,0,0,18
432,38,24,5,18,18,0,0,20,0,26,0,0,13
433,38,18,11,7,16,0,0,21,0,0,0,0,0
434,38,26,5,19,19,0,0,22,0,0,0,0,0
435,39,13,6,5,1,1,1,1,10,65,31:36.2,5496230,1
436,39,1,1,2,4,2,2,2,8,65,6.79,5503020,2
437,39,4,1,1,2,3,3,3,6,65,17.456,5513686,3
438,39,9,2,10,5,4,4,4,5,65,31.615,5527845,5
439,39,14,9,14,9,5,5,5,4,65,58.331,5554561,8
440,39,3,3,16,11,6,6,6,3,65,59.538,5555768,10
441,39,5,4,4,8,7,7,7,2,65,+1:02.128,5558358,4
442,39,11,8,22,13,8,8,8,1,64,0,0,12
443,39,21,4,3,10,9,9,9,0,64,0,0,9
444,39,22,11,8,12,10,10,10,0,64,0,0,14
445,39,19,8,23,15,11,11,11,0,64,0,0,15
446,39,18,11,7,14,12,12,12,0,64,0,0,13
447,39,16,12,20,20,13,13,13,0,63,0,0,16
448,39,27,12,21,21,14,14,14,0,63,0,0,18
449,39,2,2,9,7,0,0,15,0,46,0,0,7
450,39,23,7,11,17,0,0,16,0,44,0,0,11
451,39,24,5,18,16,0,0,17,0,19,0,0,17
452,39,26,5,19,22,0,0,18,0,9,0,0,20
453,39,8,6,6,3,0,0,19,0,9,0,0,6
454,39,15,7,12,6,0,0,20,0,8,0,0,19
455,39,17,9,15,19,0,0,21,0,7,0,0,21
456,39,25,3,17,18,0,0,22,0,1,0,0,0
457,40,4,1,1,1,1,1,1,10,78,40:29.3,6029329,1
